date,parameter,location,value,unit,city,attribution,coordinates,country,sourcename,sourcetype,mobile
"{utc=2015-10-03T00:30:00.000Z, local=2015-10-03T08:30:00+08:00}",pm25,Bukhiin urguu,39.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.917606, longitude=106.93736}",MN,Agaar.mn,,
"{utc=2015-10-03T00:30:00.000Z, local=2015-10-03T08:30:00+08:00}",pm10,Mongol gazar,24.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.903538, longitude=106.85071}",MN,Agaar.mn,,
"{utc=2015-10-03T00:15:00.000Z, local=2015-10-03T08:15:00+08:00}",pm10,100 ail,35.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.932907, longitude=106.92139}",MN,Agaar.mn,,
"{utc=2015-10-03T00:30:00.000Z, local=2015-10-03T08:30:00+08:00}",pm25,Amgalan,34.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.91343, longitude=106.99791}",MN,Agaar.mn,,
"{utc=2015-10-03T00:30:00.000Z, local=2015-10-03T08:30:00+08:00}",pm10,Baruun 4 zam,64.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.915382, longitude=106.894196}",MN,Agaar.mn,,
"{utc=2015-10-03T00:45:00.000Z, local=2015-10-03T08:45:00+08:00}",pm10,100 ail,35.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.932907, longitude=106.92139}",MN,Agaar.mn,,
"{utc=2015-10-03T00:45:00.000Z, local=2015-10-03T08:45:00+08:00}",pm10,Baruun 4 zam,63.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.915382, longitude=106.894196}",MN,Agaar.mn,,
"{utc=2015-10-03T00:45:00.000Z, local=2015-10-03T08:45:00+08:00}",pm10,Bukhiin urguu,70.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.917606, longitude=106.93736}",MN,Agaar.mn,,
"{utc=2015-10-03T01:00:00.000Z, local=2015-10-03T09:00:00+08:00}",pm10,Nisekh,61.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.86394, longitude=106.77909}",MN,Agaar.mn,,
"{utc=2015-10-03T01:00:00.000Z, local=2015-10-03T09:00:00+08:00}",pm25,Nisekh,41.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.86394, longitude=106.77909}",MN,Agaar.mn,,
